la,la_code,gor,phec,pher,tests.male.15-19,tests.male.20-24,tests.male.total,tests.female.15-19,tests.female.20-24,tests.female.total,tests.total.15-19,tests.total.20-24,tests.total,positives.male.15-19,positives.male.20-24,positives.male.total,positives.female.15-19,positives.female.20-24,positives.female.total,positives.total.15-19,positives.total.20-24,positives.total,population.male.15-19,population.male.20-24,population.female.15-19,population.female.20-24,population.total
Barking and Dagenham,E09000002,london,London,London,1439,1507,2946,2170,2637,4807,3611,4146,7757,65,117,182,177,180,357,242,297,539,6672,6484,6137,6532,25825
Barnet,E09000003,london,London,London,442,1448,1890,1510,3657,5167,1963,5124,7087,30,115,145,119,219,338,150,335,485,10694,11651,9883,11938,44166
Bexley,E09000004,london,London,London,677,1082,1759,1336,1912,3248,2017,3006,5023,57,107,164,125,147,272,182,254,436,7850,7582,7705,7709,30846
Brent,E09000005,london,London,London,1114,2822,3936,2362,5421,7783,3494,8265,11759,81,212,293,193,333,526,275,546,821,9809,11764,8587,11081,41241
Bromley,E09000006,london,London,London,1151,1340,2491,2134,2896,5030,3304,4278,7582,94,121,215,195,165,360,291,290,581,9289,7845,8810,8460,34404
Camden,E09000007,london,London,London,1227,2546,3773,3055,6678,9733,4599,9392,13991,62,185,247,236,352,588,324,549,873,5915,10708,5777,12163,34563
City of London,E09000001,london,London,London,8,28,36,13,74,87,21,102,123,,,,,,,,,,113,232,118,263,726
Croydon,E09000008,london,London,London,1472,2506,3978,3466,5138,8604,4944,7651,12595,168,253,421,463,374,837,632,627,1259,12161,11330,11377,11696,46564
Ealing,E09000009,london,London,London,561,1571,2132,1583,3383,4966,2149,4961,7110,59,120,179,176,222,398,235,342,577,9660,11740,8980,11077,41457
Enfield,E09000010,london,London,London,569,1444,2013,1881,3765,5646,2472,5250,7722,53,154,207,184,216,400,239,373,612,10808,10346,9714,10974,41842
Greenwich,E09000011,london,London,London,2093,2790,4883,2546,3866,6412,4690,6773,11463,139,250,389,277,270,547,422,534,956,8189,10306,7618,9860,35973
Hackney,E09000012,london,London,London,1115,3436,4551,3541,7453,10994,4658,10898,15556,139,328,467,427,460,887,567,790,1357,6538,9238,6776,10428,32980
Hammersmith and Fulham,E09000013,london,London,London,306,1588,1894,867,2880,3747,1176,4507,5683,37,149,186,112,187,299,149,341,490,3627,7445,3645,7656,22373
Haringey,E09000014,london,London,London,489,1721,2210,1359,3987,5346,1852,5722,7574,59,182,241,164,261,425,223,443,666,7201,9335,7015,9153,32704
Harrow,E09000015,london,London,London,387,841,1228,1104,2169,3273,1491,3013,4504,35,71,106,117,111,228,152,182,334,8092,8004,7103,7516,30715
Havering,E09000016,london,London,London,1147,1265,2412,2137,2201,4338,3289,3467,6756,54,105,159,180,145,325,234,250,484,7724,7619,7492,7618,30453
Hillingdon,E09000017,london,London,London,1890,2352,4242,2870,3737,6607,4765,6097,10862,53,174,227,185,201,386,238,375,613,9607,11788,8936,10953,41284
Hounslow,E09000018,london,London,London,2181,1786,3967,1519,2606,4125,3712,4400,8112,180,146,326,103,121,224,284,267,551,7589,9181,6981,8728,32479
Islington,E09000019,london,London,London,401,1821,2222,1149,4480,5629,1564,6351,7915,40,170,210,108,291,399,150,466,616,5008,9284,5060,10728,30080
Kensington and Chelsea,E09000020,london,London,London,426,1372,1798,919,2685,3604,1364,4078,5442,32,114,146,83,134,217,116,248,364,3115,5070,2936,5097,16218
Kingston upon Thames,E09000021,london,London,London,452,1219,1671,1223,2745,3968,1677,3965,5642,18,109,127,85,161,246,103,270,373,4589,6734,4686,7519,23528
Lambeth,E09000022,london,London,London,1567,5358,6925,4122,10278,14400,6084,16514,22598,250,549,799,564,714,1278,889,1348,2237,7126,11621,6895,13205,38847
Lewisham,E09000023,london,London,London,1138,2738,3876,2917,5798,8715,4066,8564,12630,180,328,508,399,361,760,581,691,1272,7905,9888,7906,10851,36550
Merton,E09000024,london,London,London,558,1244,1802,1123,2381,3504,1684,3627,5311,53,116,169,131,152,283,184,268,452,5451,5696,4877,5882,21906
Newham,E09000025,london,London,London,1495,2860,4355,2365,5615,7980,3864,8481,12345,100,227,327,234,376,610,334,603,937,10067,16711,10122,13794,50694
Redbridge,E09000026,london,London,London,1404,1576,2980,2042,3096,5138,3450,4676,8126,55,87,142,145,146,291,200,233,433,9229,9692,8767,9140,36828
Richmond upon Thames,E09000027,london,London,London,498,959,1457,980,1919,2899,1479,2880,4359,16,,,47,,,63,,,4438,4103,4401,4543,17485
Southwark,E09000028,london,London,London,936,3261,4197,2722,7168,9890,4022,10895,14917,136,335,471,338,449,787,535,827,1362,7583,12596,7397,14748,42324
Sutton,E09000029,london,London,London,674,1050,1724,1597,2118,3715,2273,3168,5441,46,85,131,163,146,309,209,231,440,5928,5052,5643,5409,22032
Tower Hamlets,E09000030,london,London,London,502,2703,3205,1342,5876,7218,1847,8595,10442,35,199,234,96,296,392,131,495,626,7104,13841,6980,15222,43147
Waltham Forest,E09000031,london,London,London,1246,1718,2964,1950,3457,5407,3196,5180,8376,78,169,247,229,238,467,307,408,715,7764,10086,7293,9577,34720
Wandsworth,E09000032,london,London,London,1160,4146,5306,2974,8367,11341,4150,12541,16691,113,349,462,323,530,853,437,880,1317,5852,8932,5972,11966,32722
Westminster,E09000033,london,London,London,420,1744,2164,970,3090,4060,1390,4843,6233,29,121,150,83,155,238,112,277,389,5359,8156,5020,8499,27034
Bedford,E06000055,eastern,South Midlands and Hertfordshire,Midlands and East of England,656,1247,1903,1700,1978,3678,2372,3236,5608,67,155,222,191,184,375,260,340,600,5472,4768,4911,4899,20050
Central Bedfordshire,E06000056,eastern,South Midlands and Hertfordshire,Midlands and East of England,498,834,1332,1363,2002,3365,1864,2839,4703,35,79,114,113,122,235,148,201,349,8057,7306,7265,6699,29327
Hertfordshire,E10000015,eastern,South Midlands and Hertfordshire,Midlands and East of England,2977,5274,8251,8025,12407,20432,11438,18611,30049,244,594,838,714,802,1516,1027,1507,2534,35190,32170,33871,32065,133296
Luton,E06000032,eastern,South Midlands and Hertfordshire,Midlands and East of England,517,1128,1645,1680,2554,4234,2198,3686,5884,62,137,199,156,182,338,218,320,538,6991,8345,6747,7819,29902
Milton Keynes,E06000042,south east,South Midlands and Hertfordshire,Midlands and East of England,1002,1370,2372,2908,3717,6625,3964,5146,9110,107,177,284,218,261,479,331,441,772,7820,6590,7020,6952,28382
Northamptonshire,E10000021,east midlands,South Midlands and Hertfordshire,Midlands and East of England,2152,3719,5871,5276,7995,13271,7516,11798,19314,199,423,622,486,609,1095,691,1037,1728,21987,20111,20290,19769,82157
Derby,E06000015,east midlands,East Midlands,Midlands and East of England,1204,1492,2696,2633,3328,5961,3886,4903,8789,85,213,298,249,310,559,337,527,864,8475,10461,8013,9920,36869
Derbyshire,E10000007,east midlands,East Midlands,Midlands and East of England,8282,5768,14050,10674,9645,20319,19002,15442,34444,273,496,769,706,641,1347,984,1138,2122,23901,21193,22652,20433,88179
Leicester,E06000016,east midlands,East Midlands,Midlands and East of England,2108,3639,5747,4338,7210,11548,6523,10924,17447,119,266,385,318,408,726,441,674,1115,11849,17329,11761,18948,59887
Leicestershire,E10000018,east midlands,East Midlands,Midlands and East of England,4279,4864,9143,6335,7301,13636,10681,12223,22904,216,359,575,411,452,863,632,812,1444,22601,22264,20246,19741,84852
Lincolnshire,E10000019,east midlands,East Midlands,Midlands and East of England,3954,4295,8249,7119,7289,14408,11087,11600,22687,208,387,595,603,499,1102,812,887,1699,22121,21011,21469,21058,85659
Nottingham,E06000018,east midlands,East Midlands,Midlands and East of England,2031,4302,6333,5864,10495,16359,7911,14818,22729,196,520,716,574,778,1352,772,1299,2071,12851,23127,12881,22722,71581
Nottinghamshire,E10000024,east midlands,East Midlands,Midlands and East of England,1329,2888,4217,5749,8010,13759,7092,10918,18010,171,477,648,679,707,1386,852,1186,2038,24386,23011,22943,22000,92340
Rutland,E06000017,east midlands,East Midlands,Midlands and East of England,124,258,382,245,271,516,371,531,902,8,16,24,28,26,54,36,42,78,1583,939,1342,689,4553
Cambridgeshire,E10000003,eastern,Anglia and Essex,Midlands and East of England,3178,4095,7273,6940,9199,16139,10134,13311,23445,117,283,400,383,472,855,501,756,1257,19845,23438,18716,20702,82701
Essex,E10000012,eastern,Anglia and Essex,Midlands and East of England,4211,7842,12053,10616,14851,25467,14932,22834,37766,409,696,1105,841,913,1754,1259,1618,2877,43874,40789,41081,39632,165376
Norfolk,E10000020,eastern,Anglia and Essex,Midlands and East of England,1460,3211,4671,5194,8134,13328,6671,11390,18061,137,353,490,422,503,925,561,860,1421,25680,26440,24778,25552,102450
Peterborough,E06000031,eastern,Anglia and Essex,Midlands and East of England,450,953,1403,1544,2364,3908,2002,3325,5327,69,127,196,187,201,388,256,328,584,5840,6113,5641,5873,23467
Southend-on-Sea,E06000033,eastern,Anglia and Essex,Midlands and East of England,581,901,1482,1753,2332,4085,2355,3253,5608,44,108,152,139,165,304,184,275,459,5416,4702,4973,4873,19964
Suffolk,E10000029,eastern,Anglia and Essex,Midlands and East of England,2667,2748,5415,6356,6839,13195,9034,9605,18639,141,280,421,430,421,851,571,705,1276,22359,21251,20652,19212,83474
Thurrock,E06000034,eastern,Anglia and Essex,Midlands and East of England,445,682,1127,1070,1325,2395,1517,2011,3528,30,75,105,82,111,193,112,187,299,5147,4728,4891,4785,19551
Birmingham,E08000025,west midlands,West Midlands,Midlands and East of England,3524,8741,12265,9133,17130,26263,12792,26114,38906,375,947,1322,1091,1389,2480,1475,2357,3832,39823,48001,39481,49562,176867
Coventry,E08000026,west midlands,West Midlands,Midlands and East of England,1624,2445,4069,3533,4938,8471,5175,7401,12576,145,305,450,376,451,827,522,756,1278,11971,16995,11595,15232,55793
Dudley,E08000027,west midlands,West Midlands,Midlands and East of England,864,1010,1874,2236,2517,4753,3131,3536,6667,83,129,212,222,234,456,309,363,672,10015,9091,9499,8867,37472
"Herefordshire, County of",E06000019,west midlands,West Midlands,Midlands and East of England,387,613,1000,1464,1594,3058,1851,2207,4058,66,81,147,192,132,324,258,213,471,5369,4906,5108,4574,19957
Sandwell,E08000028,west midlands,West Midlands,Midlands and East of England,786,1264,2050,2005,3012,5017,2804,4288,7092,82,179,261,251,261,512,333,440,773,10360,10356,9779,10230,40725
Shropshire,E06000051,west midlands,West Midlands,Midlands and East of England,396,744,1140,1815,2308,4123,2214,3055,5269,40,94,134,137,136,273,177,230,407,9905,9328,8915,7276,35424
Solihull,E08000029,west midlands,West Midlands,Midlands and East of England,431,862,1293,1081,1586,2667,1517,2458,3975,29,94,123,119,138,257,150,233,383,6733,5826,6459,5517,24535
Staffordshire,E10000028,west midlands,West Midlands,Midlands and East of England,5061,4488,9549,9702,8841,18543,14799,13351,28150,190,386,576,645,533,1178,838,920,1758,26772,27783,25000,24057,103612
Stoke-on-Trent,E06000021,west midlands,West Midlands,Midlands and East of England,2039,1597,3636,4395,4343,8738,6449,5969,12418,86,158,244,266,276,542,354,434,788,8080,9732,7714,9677,35203
Telford and Wrekin,E06000020,west midlands,West Midlands,Midlands and East of England,366,523,889,1580,2019,3599,1952,2549,4501,38,79,117,140,127,267,179,206,385,5832,5780,5590,5190,22392
Walsall,E08000030,west midlands,West Midlands,Midlands and East of England,1970,2460,4430,3184,3614,6798,5214,6095,11309,97,185,282,283,287,570,381,474,855,8946,8430,8533,9028,34937
Warwickshire,E10000031,west midlands,West Midlands,Midlands and East of England,916,2044,2960,3072,4696,7768,4036,6751,10787,86,270,356,312,329,641,404,600,1004,16414,17299,15264,16411,65388
Wolverhampton,E08000031,west midlands,West Midlands,Midlands and East of England,712,1274,1986,2001,3137,5138,2729,4428,7157,69,171,240,213,240,453,284,413,697,8424,9095,7840,9034,34393
Worcestershire,E10000034,west midlands,West Midlands,Midlands and East of England,989,2140,3129,4103,5411,9514,5144,7592,12736,133,262,395,348,369,717,489,636,1125,17607,16018,16533,15621,65779
Cheshire East,E06000049,north west (incl. the old 'merseyside' region),Cheshire and Merseyside,North of England,698,1442,2140,3009,4199,7208,3753,5685,9438,61,175,236,200,282,482,264,460,724,11400,9746,10384,9145,40675
Cheshire West and Chester,E06000050,north west (incl. the old 'merseyside' region),Cheshire and Merseyside,North of England,989,1753,2742,3432,4478,7910,4476,6279,10755,74,231,305,275,312,587,355,553,908,10040,9531,9651,10213,39435
Halton,E06000006,north west (incl. the old 'merseyside' region),Cheshire and Merseyside,North of England,563,1072,1635,1353,1603,2956,1933,2695,4628,31,90,121,111,96,207,143,187,330,3994,3826,3817,3806,15443
Knowsley,E08000011,north west (incl. the old 'merseyside' region),Cheshire and Merseyside,North of England,1012,1261,2273,1781,2072,3853,2844,3384,6228,52,104,156,129,121,250,185,228,413,5000,4774,4947,5037,19758
Liverpool,E08000012,north west (incl. the old 'merseyside' region),Cheshire and Merseyside,North of England,2494,4652,7146,5401,8941,14342,8021,13787,21808,199,476,675,547,645,1192,754,1134,1888,15887,26232,16490,26500,85109
