"","IndicatorID","IndicatorName","ParentCode","ParentName","AreaCode","AreaName","AreaType","Sex","Age","CategoryType","Category","Timeperiod","Value","LowerCI95.0limit","UpperCI95.0limit","LowerCI99.8limit","UpperCI99.8limit","Count","Denominator","Valuenote","RecentTrend","ComparedtoEnglandvalueorpercentiles","Comparedtosubnationalparentvalueorpercentiles","TimeperiodSortable"
"1",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000",NA,NA,"E92000001","England","Country","Female","15-44 yrs",NA,NA,"2008/09",216.402398749128,213.626383011276,219.20547627316,NA,NA,23196,10718920,NA,NA,"Not compared","Not compared",20080000
"2",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E92000001","England","E12000001","North East region","Region","Female","15-44 yrs",NA,NA,"2008/09",210.656246775421,198.289677095482,223.592074873094,NA,NA,1082,513633,NA,NA,"Same","Not compared",20080000
"3",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E92000001","England","E12000002","North West region","Region","Female","15-44 yrs",NA,NA,"2008/09",250.900374519172,242.727742905727,259.278027798556,NA,NA,3562,1419687,NA,NA,"Worse","Not compared",20080000
"4",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E92000001","England","E12000003","Yorkshire and the Humber region","Region","Female","15-44 yrs",NA,NA,"2008/09",189.806916654427,181.610988616732,198.277389249151,NA,NA,2016,1062132,NA,NA,"Better","Not compared",20080000
"5",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E92000001","England","E12000004","East Midlands region","Region","Female","15-44 yrs",NA,NA,"2008/09",260.011625897472,249.531154579505,270.819167882106,NA,NA,2317,891114,NA,NA,"Worse","Not compared",20080000
"6",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E92000001","England","E12000005","West Midlands region","Region","Female","15-44 yrs",NA,NA,"2008/09",201.023259844453,192.760054569684,209.5495894963,NA,NA,2227,1107832,NA,NA,"Better","Not compared",20080000
"7",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E92000001","England","E12000006","East of England region","Region","Female","15-44 yrs",NA,NA,"2008/09",164.486114260057,157.07530354028,172.15627727465,NA,NA,1850,1124715,NA,NA,"Better","Not compared",20080000
"8",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E92000001","England","E12000007","London region","Region","Female","15-44 yrs",NA,NA,"2008/09",211.959403735234,205.511935292466,218.557694542883,NA,NA,4089,1929143,NA,NA,"Same","Not compared",20080000
"9",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E92000001","England","E12000008","South East region","Region","Female","15-44 yrs",NA,NA,"2008/09",208.542597360397,201.706733068081,215.551057476177,NA,NA,3517,1686466,NA,NA,"Better","Not compared",20080000
"10",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E92000001","England","E12000009","South West region","Region","Female","15-44 yrs",NA,NA,"2008/09",256.858884086332,246.942664633041,267.071152924188,NA,NA,2528,984198,NA,NA,"Worse","Not compared",20080000
"11",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E12000001","North East region","E06000001","Hartlepool","County & UA","Female","15-44 yrs",NA,NA,"2008/09",364.298724954463,281.748607488223,463.477300008317,NA,NA,66,18117,NA,NA,"Worse","Worse",20080000
"12",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E12000001","North East region","E06000002","Middlesbrough","County & UA","Female","15-44 yrs",NA,NA,"2008/09",135.078969243558,96.0543519307165,184.657397706542,NA,NA,39,28872,NA,NA,"Better","Better",20080000
"13",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E12000001","North East region","E06000003","Redcar and Cleveland","County & UA","Female","15-44 yrs",NA,NA,"2008/09",192.50760405036,142.882854261972,253.797276650124,NA,NA,50,25973,NA,NA,"Same","Same",20080000
"14",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E12000001","North East region","E06000004","Stockton-on-Tees","County & UA","Female","15-44 yrs",NA,NA,"2008/09",226.303194256581,181.259581562324,279.144154048808,NA,NA,87,38444,NA,NA,"Same","Same",20080000
"15",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E12000001","North East region","E06000005","Darlington","County & UA","Female","15-44 yrs",NA,NA,"2008/09",332.762417421091,258.403037693283,421.855655277854,NA,NA,68,20435,NA,NA,"Worse","Worse",20080000
"16",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E12000002","North West region","E06000006","Halton","County & UA","Female","15-44 yrs",NA,NA,"2008/09",262.822554953807,203.266944961139,334.374730975258,NA,NA,66,25112,NA,NA,"Same","Same",20080000
"17",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E12000002","North West region","E06000007","Warrington","County & UA","Female","15-44 yrs",NA,NA,"2008/09",198.712144078881,157.322275781253,247.654621100402,NA,NA,79,39756,NA,NA,"Same","Better",20080000
"18",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E12000002","North West region","E06000008","Blackburn with Darwen","County & UA","Female","15-44 yrs",NA,NA,"2008/09",167.840452840124,124.968241421348,220.679198896215,NA,NA,51,30386,NA,NA,"Same","Better",20080000
"19",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E12000002","North West region","E06000009","Blackpool","County & UA","Female","15-44 yrs",NA,NA,"2008/09",264.026402640264,206.584399303954,332.497557919538,NA,NA,72,27270,NA,NA,"Same","Same",20080000
"20",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E12000003","Yorkshire and the Humber region","E06000010","Kingston upon Hull","County & UA","Female","15-44 yrs",NA,NA,"2008/09",408.027458671897,357.313961053486,463.920764607519,NA,NA,233,57104,NA,NA,"Worse","Worse",20080000
"21",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E12000003","Yorkshire and the Humber region","E06000011","East Riding of Yorkshire","County & UA","Female","15-44 yrs",NA,NA,"2008/09",234.888819292202,196.938966554377,278.019345242358,NA,NA,135,57474,NA,NA,"Same","Worse",20080000
"22",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E12000003","Yorkshire and the Humber region","E06000012","North East Lincolnshire","County & UA","Female","15-44 yrs",NA,NA,"2008/09",270.392068499324,215.67530335346,334.763779597913,NA,NA,84,31066,NA,NA,"Same","Worse",20080000
"23",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E12000003","Yorkshire and the Humber region","E06000013","North Lincolnshire","County & UA","Female","15-44 yrs",NA,NA,"2008/09",158.125726087518,116.982282654025,209.050595691617,NA,NA,49,30988,NA,NA,"Better","Same",20080000
"24",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E12000003","Yorkshire and the Humber region","E06000014","York","County & UA","Female","15-44 yrs",NA,NA,"2008/09",106.708401508145,77.8338402889058,142.784236790588,NA,NA,45,42171,NA,NA,"Better","Better",20080000
"25",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E12000004","East Midlands region","E06000015","Derby","County & UA","Female","15-44 yrs",NA,NA,"2008/09",294.671203969506,250.107701678255,344.884902341316,NA,NA,155,52601,NA,NA,"Worse","Same",20080000
"26",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E12000004","East Midlands region","E06000016","Leicester","County & UA","Female","15-44 yrs",NA,NA,"2008/09",273.407205857224,237.511645177171,313.195596233783,NA,NA,208,76077,NA,NA,"Worse","Same",20080000
"27",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E12000004","East Midlands region","E06000017","Rutland","County & UA","Female","15-44 yrs",NA,NA,"2008/09",144.207659029002,65.940924489318,273.751056744419,NA,NA,9,6241,NA,NA,"Same","Same",20080000
"28",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E12000004","East Midlands region","E06000018","Nottingham","County & UA","Female","15-44 yrs",NA,NA,"2008/09",286.717699673498,249.161576187018,328.336419262947,NA,NA,209,72894,NA,NA,"Worse","Same",20080000
"29",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E12000005","West Midlands region","E06000019","Herefordshire","County & UA","Female","15-44 yrs",NA,NA,"2008/09",168.051239774241,125.881910496409,219.815159265661,NA,NA,53,31538,NA,NA,"Same","Same",20080000
"30",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E12000005","West Midlands region","E06000020","Telford and Wrekin","County & UA","Female","15-44 yrs",NA,NA,"2008/09",195.486049404656,151.188896447608,248.70618577841,NA,NA,66,33762,NA,NA,"Same","Same",20080000
"31",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E12000005","West Midlands region","E06000021","Stoke-on-Trent","County & UA","Female","15-44 yrs",NA,NA,"2008/09",424.757281553398,370.119066991727,485.189722585687,NA,NA,217,51088,NA,NA,"Worse","Worse",20080000
"32",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E12000009","South West region","E06000022","Bath and North East Somerset","County & UA","Female","15-44 yrs",NA,NA,"2008/09",117.9179066764,84.9848552206123,159.3907540527,NA,NA,42,35618,NA,NA,"Better","Better",20080000
"33",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E12000009","South West region","E06000023","Bristol","County & UA","Female","15-44 yrs",NA,NA,"2008/09",310.841470849867,277.250939159245,347.379907939964,NA,NA,311,100051,NA,NA,"Worse","Worse",20080000
"34",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E12000009","South West region","E06000024","North Somerset","County & UA","Female","15-44 yrs",NA,NA,"2008/09",387.262140250188,325.560949766166,457.255618936722,NA,NA,139,35893,NA,NA,"Worse","Worse",20080000
"35",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E12000009","South West region","E06000025","South Gloucestershire","County & UA","Female","15-44 yrs",NA,NA,"2008/09",254.85577480017,213.235719230533,302.226432428577,NA,NA,132,51794,NA,NA,"Same","Same",20080000
"36",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E12000009","South West region","E06000026","Plymouth","County & UA","Female","15-44 yrs",NA,NA,"2008/09",161.116095131731,129.219819606908,198.499535404263,NA,NA,88,54619,NA,NA,"Better","Better",20080000
"37",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E12000009","South West region","E06000027","Torbay","County & UA","Female","15-44 yrs",NA,NA,"2008/09",443.734469293575,361.040074773354,539.700007953614,NA,NA,100,22536,NA,NA,"Worse","Worse",20080000
"38",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E12000009","South West region","E06000028","Bournemouth","County & UA","Female","15-44 yrs",NA,NA,"2008/09",223.394520105507,177.932488286061,276.931118580142,NA,NA,83,37154,NA,NA,"Same","Same",20080000
"39",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E12000009","South West region","E06000029","Poole","County & UA","Female","15-44 yrs",NA,NA,"2008/09",240.794250574202,185.839918979159,306.91203903042,NA,NA,65,26994,NA,NA,"Same","Same",20080000
"40",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E12000009","South West region","E06000030","Swindon","County & UA","Female","15-44 yrs",NA,NA,"2008/09",196.182518983544,156.703628233652,242.58272282618,NA,NA,85,43327,NA,NA,"Same","Better",20080000
"41",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E12000006","East of England region","E06000031","Peterborough","County & UA","Female","15-44 yrs",NA,NA,"2008/09",132.481296758105,98.6410272191676,174.188438738061,NA,NA,51,38496,NA,NA,"Better","Same",20080000
"42",90739,"Pelvic inflammatory disease (PID) admissions rate / 100,000","E12000006","East of England region","E06000032","Luton","County & UA","Female","15-44 yrs",NA,NA,"2008/09",109.41937887042,80.3972439518223,145.504577782388,NA,NA,47,42954,NA,NA,"Better","Better",20080000
