AreaCode,AreaName,year,Timeperiod,tests.male.15-19,tests.male.20-24,tests.male.total,tests.female.15-19,tests.female.20-24,tests.female.total,tests.total.15-19,tests.total.20-24,tests.total,positives.male.15-19,positives.male.20-24,positives.male.total,positives.female.15-19,positives.female.20-24,positives.female.total,positives.total.15-19,positives.total.20-24,positives.total,population.male.15-19,population.male.20-24,population.female.15-19,population.female.20-24,population.total
E12000007,London,2016,2015/16,20573,67245,87818,53932,134835,188767,76217,205678,281895,2151,6508,8659,5887,8866,14753,8322,15749,24071,240789,284353,227381,290053,1042576
E12000005,West Midlands,2016,2015/16,11532,23162,34694,33562,53320,86882,45291,76679,121970,1314,3071,4385,3783,4581,8364,5113,7673,12786,181914,201192,171991,190888,745985
E12000004,East Midlands,2016,2015/16,11619,20985,32604,32094,50580,82674,43988,71875,115863,1146,2533,3679,3395,3907,7302,4564,6466,11030,145232,166395,137819,156461,605907
E12000006,East of England,2016,2015/16,11156,23623,34779,31885,53184,85069,43539,77552,121091,988,2472,3460,2786,3711,6497,3824,6261,10085,187117,187725,176094,176225,727161
E12000001,North East,2016,2015/16,7158,12520,19678,18961,28967,47928,26160,41525,67685,766,1505,2271,1931,2101,4032,2700,3614,6314,79797,96958,75682,91535,343972
E12000003,Yorkshire and Humber,2016,2015/16,11965,24651,36616,39784,62951,102735,51955,87756,139711,1656,3419,5075,4752,4991,9743,6435,8426,14861,167478,198414,160724,190472,717088
E12000002,North West,2016,2015/16,17530,37257,54787,58783,88595,147378,77799,128155,205954,1981,4638,6619,6234,7281,13515,8343,12120,20463,218359,245714,208052,238540,910665
E12000009,South West,2016,2015/16,12276,27925,40201,39007,63986,102993,51331,91993,143324,1216,2876,4092,3400,4247,7647,4619,7128,11747,163332,177422,155674,165710,662138
E12000008,South East,2016,2015/16,17540,37694,55234,53048,86900,139948,72826,127256,200082,1511,3944,5455,4236,5656,9892,5863,9743,15606,266496,274295,249358,259905,1050054
E12000007,London,2015,2014/15,22333,66457,88790,57227,136066,193293,80915,204483,285398,2172,6150,8322,5603,8583,14186,7989,14902,22891,238258,284252,225560,292619,1040689
E12000005,West Midlands,2015,2014/15,14278,27047,41325,40069,58244,98313,54703,85610,140313,1314,2931,4245,3919,4379,8298,5257,7334,12591,182971,202204,173508,191572,750255
